"ID","flags","deploymentRegionEnum","deploymentTypeEnum","localizedTextId","authServer","ncClientAuthServer","ncRedirectUrlTemplate","ncRedirectUrlTemplateSignature","ncAppGroupCode","ncProgramAuth","steamSignatureUrlTemplate","steamNCoinUrlTemplate","storeBannerDataUrlTemplate"
1,0,0,0,7,"c1wsddcd01v.carbine.ncwest.ncsoft.corp","dev-cligate.ncsoft.com","http://dev.login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=http%3A%2F%2Fdev.wildstar-online.com%2Fen%2Fshop%2Fprotobucks","http://dev.wildstar-online.com/en/shop/signature","wildstar",902,"http://dev.login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=http%3A%2F%2Fdev.purchase.ncsoft.com%2Fsteam%2Fsubscription%3FsteamId%3D{STEAMID}%26game%3Dwildstar","http://dev.login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=http%3A%2F%2Fdev.purchase.ncsoft.com%2Fsteam%2Fprotobucks%3FsteamId%3D{STEAMID}%26game%3Dwildstar","http://static.dev.wildstar-online.com/banners/"
3,0,0,1,8,"c1wssdcd01v.carbine.ncwest.ncsoft.corp","qa-cligate.ncsoft.com","http://qa.login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=http%3A%2F%2Fqa.wildstar-online.com%2Fen%2Fshop%2Fprotobucks","http://qa.wildstar-online.com/en/shop/signature","wildstar",902,"https://qa.login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=https%3A%2F%2Fqa.purchase.ncsoft.com%2Fsteam%2Fsubscription%3FsteamId%3D{STEAMID}%26game%3Dwildstar","https://qa.login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=https%3A%2F%2Fqa.purchase.ncsoft.com%2Fsteam%2Fprotobucks%3FsteamId%3D{STEAMID}%26game%3Dwildstar","http://static.qa.wildstar-online.com/banners/"
6,0,0,0,10,"localhost","localhost","","","wildstar",902,"","",""
7,0,0,2,11,"auth.eu.wildstar-online.com","cligate.ncsoft.com","https://login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=https%3A%2F%2Fshop.wildstar-online.com%2Fproduct%2Fprotobucks","https://shop.wildstar-online.com/product/signatureMembership","wildstar",902,"https://login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=https%3A%2F%2Fpurchase.ncsoft.com%2Fsteam%2Fsubscription%3FsteamId%3D{STEAMID}%26game%3Dwildstar","https://login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=https%3A%2F%2Fpurchase.ncsoft.com%2Fsteam%2Fprotobucks%3FsteamId%3D{STEAMID}%26game%3Dwildstar","http://static.wildstar-online.com/banners/"
9,0,0,2,13,"auth.na.wildstar-online.com","cligate.ncsoft.com","https://login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=https%3A%2F%2Fshop.wildstar-online.com%2Fproduct%2Fprotobucks","https://shop.wildstar-online.com/product/signatureMembership","wildstar",902,"https://login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=https%3A%2F%2Fpurchase.ncsoft.com%2Fsteam%2Fsubscription%3FsteamId%3D{STEAMID}%26game%3Dwildstar","https://login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=https%3A%2F%2Fpurchase.ncsoft.com%2Fsteam%2Fprotobucks%3FsteamId%3D{STEAMID}%26game%3Dwildstar","http://static.wildstar-online.com/banners/"
12,1,0,3,612012,"auth.ptr.wildstar-online.com","cligate.ncsoft.com","https://login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=https%3A%2F%2Fshop.wildstar-online.com%2Fproduct%2Fprotobucks","https://shop.wildstar-online.com/product/signatureMembership","wildstar",902,"https://login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=https%3A%2F%2Fpurchase.ncsoft.com%2Fsteam%2Fsubscription%3FsteamId%3D{STEAMID}%26game%3Dwildstar","https://login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=https%3A%2F%2Fpurchase.ncsoft.com%2Fsteam%2Fprotobucks%3FsteamId%3D{STEAMID}%26game%3Dwildstar","http://static.wildstar-online.com/banners/"
13,1,0,1,615106,"c1wsxdcd01.carbine.ncwest.ncsoft.corp","qa-cligate.ncsoft.com","https://qa.login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=https%3A%2F%2Fqa.shop.wildstar-online.com%2Fproduct%2Fprotobucks","https://qa.shop.wildstar-online.com/product/signatureMembership","wildstar",902,"https://qa.login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=https%3A%2F%2Fqa.purchase.ncsoft.com%2Fsteam%2Fsubscription%3FsteamId%3D{STEAMID}%26game%3Dwildstar","https://qa.login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=https%3A%2F%2Fqa.purchase.ncsoft.com%2Fsteam%2Fprotobucks%3FsteamId%3D{STEAMID}%26game%3Dwildstar","http://static.qa.wildstar-online.com/banners/"
14,0,0,1,615107,"c1wsmdcd01.carbine.ncwest.ncsoft.corp","qa-cligate.ncsoft.com","https://qa.login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=https%3A%2F%2Fqa.shop.wildstar-online.com%2Fproduct%2Fprotobucks","https://qa.shop.wildstar-online.com/product/signatureMembership","wildstar",902,"https://qa.login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=https%3A%2F%2Fqa.purchase.ncsoft.com%2Fsteam%2Fsubscription%3FsteamId%3D{STEAMID}%26game%3Dwildstar","https://qa.login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=https%3A%2F%2Fqa.purchase.ncsoft.com%2Fsteam%2Fprotobucks%3FsteamId%3D{STEAMID}%26game%3Dwildstar","http://static.qa.wildstar-online.com/banners/"
15,0,0,1,640164,"c1wsuall.carbine.ncwest.ncsoft.corp","qa-cligate.ncsoft.com","https://qa.login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=https%3A%2F%2Fqa.shop.wildstar-online.com%2Fproduct%2Fprotobucks","https://qa.shop.wildstar-online.com/product/signatureMembership","wildstar",902,"https://qa.login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=https%3A%2F%2Fqa.purchase.ncsoft.com%2Fsteam%2Fsubscription%3FsteamId%3D{STEAMID}%26game%3Dwildstar","https://qa.login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=https%3A%2F%2Fqa.purchase.ncsoft.com%2Fsteam%2Fprotobucks%3FsteamId%3D{STEAMID}%26game%3Dwildstar","http://static.qa.wildstar-online.com/banners/"
24,0,0,0,767052,"c1wsvs1m01.carbine.ncwest.ncsoft.corp","dev-cligate.ncsoft.com","http://dev.login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=http%3A%2F%2Fdev.shop.wildstar-online.com%2Fproduct%2Fprotobucks","https://dev.shop.wildstar-online.com/product/signatureMembership","wildstar",902,"http://dev.login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=http%3A%2F%2Fdev.purchase.ncsoft.com%2Fsteam%2Fsubscription%3FsteamId%3D{STEAMID}%26game%3Dwildstar","http://dev.login.wildstar-online.com/game/sso?authn_token={AUTHNTOKEN}&return_url=http%3A%2F%2Fdev.purchase.ncsoft.com%2Fsteam%2Fprotobucks%3FsteamId%3D{STEAMID}%26game%3Dwildstar","http://static.dev.wildstar-online.com/banners/"
